hashtag,count,party
FosterYouthVoices,59,L
WomenVetsTaskForce,59,L
HayesInTheHouse,59,L
MaskUpAZ,58,L
Olympics,58,L
ProtectSocialSecurity,58,L
ExpandTheCourt,58,L
StayHome,58,L
GeorgeFloydLaw,58,L
MovingForwardAct,58,L
TruthExposed,58,L
PA06,58,L
DreamAct,57,L
StopAAPIHate,57,L
FUTUREAct,57,L
SupportSurvivors,57,L
VA04,57,L
200Days,57,L
CA31,57,L
FightForVotingRights,57,L
EveryDayInUniformCounts,57,L
MA,57,L
NC02,57,L
FridayswithFrank,57,L
CORPSAct,56,L
WorldFoodDay,56,L
PearlHarborRemembranceDay,56,L
CoryStories,56,L
EmmettTill,56,L
TeamRosen,56,L
NoWarWithIran,56,L
Sacramento,56,L
PSA,56,L
PoliceWeek,55,L
FindYourPark,55,L
MarchForOurLives,55,L
wildfires,55,L
Cuba,55,L
CASHAct,55,L
SubOversight,55,L
CA53,55,L
BiVisibilityDay,54,L
SuicidePrevention,54,L
ImmigrantsAreEssential,54,L
NEPA,54,L
NOBANAct,54,L
MentalHealthMatters,54,L
Zika,54,L
116thCongress,54,L
LatinoMuseum,54,L
VAWA4ALL,54,L
NoSonOlvidados,54,L
TuneIn,54,L
TeamTX07,54,L
OR05,54,L
AAPIEqualPay,53,L
NationalFirstRespondersDay,53,L
Hawaii,53,L
FAIRAct,53,L
CHIPSAct,53,L
EqualPayForEqualWork,53,L
AZ03,53,L
HarveyMilkDay,52,L
RestoreTheVOTE,52,L
WorldOceanDay,52,L
VRAA,52,L
SaveChildCare,52,L
COVIDrelief,52,L
RI,52,L
USA,52,L
ExtendTheMoratorium,52,L
BootPruitt,52,L
ElectionReformAct,52,L
SOPA,52,L
TeamHayes,52,L
CA09,52,L
CaribbeanAmericans,52,L
NationalFarmersDay,51,L
WorldEnvironmentDay,51,L
WorldPressFreedomDay,51,L
HurricaneMaria,51,L
Congress,51,L
Iran,51,L
BBB,51,L
POTUS,51,L
OceanClimateAction,51,L
FF,51,L
EndTheStigma,51,L
ConsumersFirst,51,L
Indy,51,L
TrumpTradeWar,51,L
Apollo11,50,L
MayDay,50,L
wildfire,50,L
HeadStart,50,L
FightFor15,50,L
4thOfJuly,50,L
SmallBusiness,50,L
StopEndlessWar,50,L
InfrastructureDecade,50,L
OH03,50,L
Flushing,50,L
WorldWaterDay,49,L
GreatAmericanOutdoorsAct,49,L
Charlottesville,49,L
AmericanRescueAct,49,L
Title42,49,L
BuyAmerican,49,L
BringDannyHome,49,L
OlderAmericansMonth,49,L
AskHank,49,L
Orlando,49,L
ReadAcrossAmericaDay,48,L
MentalIllnessAwarenessWeek,48,L
PSLF,48,L
Tokyo2020,48,L
WRDA2022,48,L
HousingIsInfrastructure,48,L
StopKavanaugh,48,L
DREAMAct,48,L
DayOfTheGirl,48,L
PassThePROAct,48,L
covid19,48,L
EnviroJusticeNow,48,L
LongOverdue,48,L
forthepeople,48,L
CoronaOutbreak,48,L
AZ09,48,L
SarbanesStandard,48,L
MilitaryFamilyMonth,47,L
WorldSeries,47,L
SemperFi,47,L
HonorWithAction,47,L
ProtectDreamers,47,L
Resist,47,L
Election2022,47,L
HBCUWeek,47,L
EITC,47,L
Pride2021,47,L
HappyKwanzaa,47,L
townhall,47,L
HappyDiwali,47,L
vaccinated,47,L
BlackMenAndBoysAct,47,L
PeopleOverPolluters,47,L
CommunityProjectFunding,47,L
NC,47,L
NY09,47,L
SouthTexas,47,L
ImpeachmentIsNotDead,47,L
MesDeLaHerenciaHispana,46,L
ViolenceAgainstWomenAct,46,L
ClimateStrike,46,L
ADA31,46,L
ThankATeacher,46,L
SpiritDay,46,L
AbolishTheFilibuster,46,L
MondayMotivation,46,L
Omicron,46,L
HIV,46,L
CollegeAffordabilityAct,46,L
FakeTrumpEmergency,46,L
CleanEconomyJobs,46,L
IL06,46,L
TransDayofRemembrance,45,L
VOCAFix,45,L
ConfirmKBJ,45,L
BountyGate,45,L
UniversalChildCare,45,L
MentalHealthAction,45,L
ProtectCleanWater,45,L
PayMoreForLess,45,L
FinancialLiteracyMonth,45,L
IL17,45,L
CA45,45,L
Plymouth,45,L
Delivering4MN,45,L
localhero,45,L
NationalDogDay,44,L
getcovered,44,L
